rank,query_alias,hit_index,source_system,source_id,title,year,venue,doi_or_url,abstract_or_notes,raw_cache_path,tier,score,candidate_for_gates,evidence_status,claim_boundary,acquisition_next_step
1,UGC 7125,1,OpenAlex,https://doi.org/10.1051/0004-6361:20020976,Neutral hydrogen and optical observations of edge-on galaxies: Hunting for warps,2002.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361:20020976,"We present 21-cm HI line and optical R-band observations for a sample of 26 edge-on galaxies. The HI observations were obtained with the Westerbork Synthesis Radio Telescope, and are part of the WHISP database (Westerbork HI Survey of Spiral and Irregular Galaxies). We present HI maps, optical images, and radial HI density profiles. We have also derived the rotation curves and studied the warping and lopsidedness of the HI disks. 20 out of the 26 galaxies of our sample are warped, confirming that warping of the HI disks is a very common phenomenon in disk galaxies. Indeed, we find that all galaxies that have an extended HI disk with respect to the optical are warped. The warping usually starts around the edge of the optical disk. The degree of warping varies considerably from galaxy to galaxy. Furthermore, many warps are asymmetric, as they show up in only one side of the disk or exhibit large differences in amplitude in the approaching and receding sides of the galaxy. These asymmetries are more pronounced in rich environments, which may indicate that tidal interactions are a source of warp asymmetry. A rich environment tends to produce larger warps as well. The presence of lopsidedness seems to be related to the presence of nearby companions.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,A,155,environment_tidal_history;hi_surface_density_participation;outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
2,UGC 7125,4,OpenAlex,https://doi.org/10.1051/0004-6361:20011755,The Westerbork HI survey of spiral and irregular galaxies,2002.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361:20011755,"Neutral hydrogen observations with the Westerbork Synthesis Radio Telescope are presented for a sample of 73 late-type dwarf galaxies. These observations are part of the WHISP project (Westerbork Survey of Spiral and Irregular Galaxies). Here we present maps, velocity fields, global profiles and radial surface density profiles of , as well as masses, radii and line widths. For the late-type galaxies in our sample, we find that the ratio of extent to optical diameter, defined as 6.4 disk scale lengths, is on average 1.8 ± 0.8, similar to that seen in spiral galaxies. Most of the dwarf galaxies in this sample are rich in with a typical of 1.5. The relative content increases towards fainter absolute magnitudes and towards fainter surface brightnesses. Dwarf galaxies with lower average column densities also have lower average optical surface brightnesses. We find that lopsidedness is as common among dwarf galaxies as it is in spiral galaxies. About half of the dwarf galaxies in our sample have asymmetric global profiles, a third has a lopsided distribution, and about half shows signs of kinematic lopsidedness.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,A,155,environment_tidal_history;hi_surface_density_participation;outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
3,RFGC 2197,4,Crossref,https://doi.org/10.1023/a:1023379504085,Comparison of Velocity Fields of the Galaxies From the Catalogs RFGC and MarkIII,2003.0,Astrophysics and Space Science,https://doi.org/10.1023/a:1023379504085,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_RFGC_2197.json,A,120,outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
4,UGC 7125,5,OpenAlex,https://doi.org/10.1051/0004-6361/201936504,Slowly rotating Bose–Einstein condensate compared with the rotation curves of 12 dwarf galaxies,2019.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201936504,"Context. The high plateaus of the rotation curves of spiral galaxies suggest either that there is a dark component or that the Newtonian gravity requires modifications on galactic scales to explain the observations. We assemble a database of 12 dwarf galaxies, for which optical ( R -band) and near-infrared (3.6 μ m) surface brightness density together with spectroscopic rotation curve data are available, in order to test the slowly rotating Bose–Einstein condensate (BEC) dark matter model. Aims. We aim to establish the angular velocity range compatible with observations, bounded from above by the requirement of finite-size halos, to check the model fits with the dataset, and the universality of the BEC halo parameter ℛ. Methods. We constructed the spatial luminosity density of the stellar component of the dwarf galaxies based on their 3.6 μ m and R -band surface brightness profiles, assuming an axisymmetric baryonic mass distribution with arbitrary axis ratio. We built up the gaseous component of the mass by employing an inside-truncated disk model. We fitted a baryonic plus dark matter combined model, parametrized by the M / L ratios of the baryonic components and parameters of the slowly rotating BEC (the central density ρ c , size of the BEC halo ℛ in the static limit, angular velocity ω ) to the rotation curve data. Results. The 3.6 μ m surface brightness of six galaxies indicates the presence of a bulge and a disk component. The shape of the 3.6 μ m and R -band spatial mass density profiles being similar is consistent with the stellar mass of the galaxies emerging wavelength-independent. The slowly rotating BEC model fits the rotation curve of 11 galaxies out of 12 within the 1 σ significance level, with the average of ℛ as 7.51 kpc and standard deviation of 2.96 kpc. This represents an improvement over the static BEC model fits, also discussed. For the 11 best-fitting galaxies the angular velocities allowing for a finite-size slowly rotating BEC halo are less then 2.2 × 10 −16 s −1 .For a scattering length of the BEC particle of a ≈ 10 6 fm, as allowed by terrestrial laboratory experiments, the mass of the BEC particle is slightly better constrained than in the static case as m ∈ [1.26 × 10 −17 ÷ 3.08 × 10 −17 ] (eV c −2 ).",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,A,120,hi_surface_density_participation;outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
5,UGC07125,6,OpenAlex,https://doi.org/10.22201/ia.01851101p.2023.59.02.07,MASS PROFILES OF LATE GALAXIES USING A GENETIC ALGORITHM. I - TESTING THE ALGORITHM,2023.0,Revista Mexicana de Astronomía y Astrofísica,https://doi.org/10.22201/ia.01851101p.2023.59.02.07,"The rotation curve of a galaxy contains a wealth of information about its dynamical properties, being the mass distribution one of the most important. The rotation curve fitting procedures used to estimate the mass profiles of disc galaxies have become more sophisticated over the years, providing ever more reliable results. However, the time-cost and data requirements (e.g. high-resolution NIR photometry) necessary to put to use some of them have restricted these kind of studies to small samples of galaxies. We propose a simple procedure that could be used as a good first approximation for the study of large galaxy samples. It is based on a parameter-fitting method along with a recent optimization algorithm, called the Asexual Genetic Algorithm (AGA). With this procedure, we were able to replicate previously published results, within uncertainties, suggesting that it will provide a reliable first estimation, suitable for its application to large galaxy samples.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,A,120,outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
6,UGC07125,7,OpenAlex,https://doi.org/10.48550/arxiv.2405.16650,Bounding the Cosmological Constant using Galactic Rotation Curves from the SPARC Dataset,2024.0,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2405.16650,"Dark energy (and its simplest model, the Cosmological Constant or $Λ$) acts as a repulsive force that opposes gravitational attraction. Assuming galaxies maintain a steady state over extended periods, the estimated upper limit on $Λ$ studies its pushback to the attractive gravitational force of dark matter. From the SPARC dataset, we select galaxies that are best fitted by the Navarro-Frenk-White (NFW) and Hernquist density models. Introducing the presence of $Λ$ in these galaxies helps to establish the upper limit on its repulsive force. This upper limit on $Λ$ is around $ρ_{\left(&lt;Λ\right)} \sim 10^{-25}$~kg/m$^3$, only two orders of magnitude higher than the one measured by Planck. {We show that for galaxies with detectable velocities far from the galaxy core, the upper limit on $Λ$ is lower. Furthermore, we show that galaxies and other systems follow the same principle: for larger orbital periods the upper limit on $Λ$ is lower. Consequently, we address the implications for future measurements on the upper limit and the condition for detecting the impact of $Λ$ on galactic scales.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,A,120,outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
7,UGC07125,9,OpenAlex,https://doi.org/10.48550/arxiv.2403.00531,Phenomenology of renormalization group improved gravity from the kinematics of SPARC galaxies,2024.0,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2403.00531,"Renormalization Group correction to General Relativity (RGGR) proposes a logarithmic running of the gravitational coupling $\left(G\right)$, resulting in a modified description of gravity. This has the potential to explain the observed kinematics of the galaxies, including the missing-mass problem. We, for the first time, based on the galaxy morphological types, investigate the dynamics of a diverse collection of galaxies present in the Spitzer Photometry for Accurate Rotation Curve (SPARC) catalog. We phenomenologically constrain the RGGR model parameter $\left(\barν\right)$ along with the mass-to-light ratio for a sample of 100 SPARC galaxies, selected from four different morphological types, viz. early, spiral, late, and starburst. Our statistical analysis finds RGGR to fit the observed galaxy kinematics consistently. The constrained RGGR model parameter also supports the claim that it has a near-linear dependence on the galactic baryonic mass. From our morphology study, we find that the parameter $\barν$ decreases from the early-type to the starburst galaxies. Finally, the renormalization group improved gravity is tested against the two established empirical relations for the SPARC catalog, viz., the Radial Acceleration Relation (RAR) and the Baryonic Tully Fisher relation (BTFR), both are found to be satisfied consistently.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,A,120,environment_tidal_history;outer_curve_reliability;resolved_hi_velocity_field;stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
8,UGC 7125,2,OpenAlex,https://doi.org/10.1051/0004-6361:20066941,Truncations of stellar disks and warps of HI-layers in edge-on spiral galaxies,2007.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361:20066941,"Context.Edge-on spiral galaxies often have stellar disks with relatively sharp truncations and there is extensive observational material of warped HI-layers in the outer parts. Warps appear to start preferentially near the optical boundaries of the disks, but the possible relation between truncations and warps has not been studied in detail.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,A,110,outer_curve_reliability;resolved_hi_velocity_field,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and any linked H I maps/velocity fields/surface-density products; extract UGC07125-specific notes.
9,SPARC Ref for UGC07125,0,SPARC_main_table_reference,Sw02,"SPARC UGC07125 original H I / rotation-curve source reference: Swaters, R.A. 2002, A&A, 390, 829",2002.0,SPARC_Lelli2016c.mrt reference list,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,"UGC07125 SPARC Ref field is Sw09,Sw02; SPARC labels these as references for HI and Ha data. Treat as original rotation-curve/outer-curve reliability candidate sources, not extracted full text in M31.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,A,90,source_discovery_only,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and extract rotation-curve reliability details.
10,SPARC Ref for UGC07125,0,SPARC_main_table_reference,Sw09,"SPARC UGC07125 original H I / rotation-curve source reference: Swaters, R.A. 2009, A&A, 493, 871",2009.0,SPARC_Lelli2016c.mrt reference list,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,"UGC07125 SPARC Ref field is Sw09,Sw02; SPARC labels these as references for HI and Ha data. Treat as original rotation-curve/outer-curve reliability candidate sources, not extracted full text in M31.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,A,90,source_discovery_only,candidate_source_found_evidence_not_extracted,Tier A candidate source; resolved/HI evidence not confirmed until full text/maps are acquired and extracted,Acquire full text and extract rotation-curve reliability details.
11,MCG+06-27-014,0,Crossref,https://doi.org/10.1086/185835,MCG 06-45-001 - Not a local group galaxy,1990.0,The Astrophysical Journal,https://doi.org/10.1086/185835,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_MCG_06_27_014.json,B,50,environment_tidal_history,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
12,SDSS J120842.33+364809.9,2,Crossref,https://doi.org/10.1111/j.1365-2966.2004.07843.x,"High-speed photometry of faint cataclysmic variables - IV. V356 Aql, Aqr1, FIRST J1023+0038, Hα 0242-2802, GI Mon, AO Oct, V972 Oph, SDSS 0155+00, SDSS 0233+00, SDSS 1240−01, SDSS 1556−00, SDSS 2050−05, FH Ser",2004.0,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1111/j.1365-2966.2004.07843.x,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
13,SDSS J120842.33+364809.9,0,Crossref,https://doi.org/10.1134/s1063773707080014,Voids in the SDSS galaxy survey,2007.0,Astronomy Letters,https://doi.org/10.1134/s1063773707080014,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
14,MCG+06-27-014,5,OpenAlex,https://doi.org/10.1051/0004-6361/201322489,The applicability of far-infrared fine-structure lines as star formation rate tracers over wide ranges of metallicities and galaxy types,2014.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201322489,"Aims. We analyze the applicability of far-infrared fine-structure lines [C] 158 m, [O] 63 m, and [O] 88 m to reliably trace the star formation rate (SFR) in a sample of low-metallicity dwarf galaxies from the Herschel Dwarf Galaxy Survey and, furthermore, extend the analysis to a broad sample of galaxies of various types and metallicities in the literature. Methods. We study the trends and scatter in the relation between the SFR (as traced by GALEX FUV and MIPS 24 m) and farinfrared line emission, on spatially resolved and global galaxy scales, in dwarf galaxies. We assemble far-infrared line measurements from the literature and infer whether the far-infrared lines can probe the SFR (as traced by the total infrared luminosity) in a variety of galaxy populations. Results. In metal-poor dwarfs, the [O] 63 and [O] 88 lines show the strongest correlation with the SFR with an uncertainty on the SFR estimates better than a factor of 2, while the link between [C] emission and the SFR is more dispersed (uncertainty factor of 2.6). The increased scatter in the SFR-L [CII] relation toward low metal abundances, warm dust temperatures, and large filling factors of diffuse, highly ionized gas suggests that other cooling lines start to dominate depending on the density and ionization state of the gas. For the literature sample, we evaluate the correlations for a number of different galaxy populations. The [C] and [O] 63 lines are considered to be reliable SFR tracers in starburst galaxies, recovering the star formation activity within an uncertainty of factor 2. For sources with composite and active galactic nucleus (AGN) classifications, all three FIR lines can recover the SFR with an uncertainty factor of 2.3. The SFR calibrations for ultra-luminous infrared galaxies (ULIRGs) are similar to starbursts/AGNs in terms of scatter but offset from the starburst/AGN SFR relations because of line deficits relative to their total infrared luminosity. While the number of detections of the FIR fine-structure lines is still very limited at high redshift for [O] 63 and [O] 88 , we provide an SFR calibration for [C].",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_MCG_06_27_014.json,B,50,star_formation_efficiency;stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
15,UGC 7125,0,OpenAlex,https://doi.org/10.1088/0067-0049/217/2/32,A CLASSICAL MORPHOLOGICAL ANALYSIS OF GALAXIES IN THE SPITZER SURVEY OF STELLAR STRUCTURE IN GALAXIES (S 4 G),2015.0,The Astrophysical Journal Supplement Series,https://doi.org/10.1088/0067-0049/217/2/32,"The Spitzer Survey of Stellar Structure in Galaxies (S 4 G) is the largest available database of deep, homogeneous middle-infrared (mid-IR) images of galaxies of all types. The survey, which includes 2352 nearby galaxies, reveals galaxy morphology only minimally affected by interstellar extinction. This paper presents an atlas and classifications of S 4 G galaxies in the Comprehensive de Vaucouleurs revised Hubble-Sandage (CVRHS) system. The CVRHS system follows the precepts of classical de Vaucouleurs morphology, modified to include recognition of other features such as inner, outer, and nuclear lenses, nuclear rings, bars, and disks, spheroidal galaxies, X patterns and box/peanut structures, OLR subclass outer rings and pseudorings, bar ansae and barlenses, parallel sequence latetypes, thick disks, and embedded disks in 3D early-type systems. We show that our CVRHS classifications are internally consistent, and that nearly half of the S 4 G sample consists of extreme late-type systems (mostly bulgeless, pure disk galaxies) in the range Scd-Im. The most common family classification for mid-IR types S0/a to Sc is SA while that for types Scd to Sm is SB. The bars in these two type domains are very different in mid-IR structure and morphology. This paper examines the bar, ring, and type classification fractions in the sample, and also includes several montages of images highlighting the various kinds of ""stellar structures"" seen in mid-IR galaxy morphology.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
16,UGC 7125,3,OpenAlex,https://doi.org/10.1093/mnras/staa1256,Robust H i kinematics of gas-rich ultra-diffuse galaxies: hints of a weak-feedback formation scenario,2020.0,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/staa1256,"ABSTRACT We study the gas kinematics of a sample of six isolated gas-rich low surface brightness galaxies, of the class called ultra-diffuse galaxies (UDGs). These galaxies have recently been shown to be outliers from the baryonic Tully–Fisher relation (BTFR), as they rotate much slower than expected given their baryonic mass, and to have a baryon fraction similar to the cosmological mean. By means of a 3D kinematic modelling fitting technique, we show that the H i in our UDGs is distributed in ‘thin’ regularly rotating discs and we determine their rotation velocity and gas velocity dispersion. We revisit the BTFR adding galaxies from other studies. We find a previously unknown trend between the deviation from the BTFR and the exponential disc scale length valid for dwarf galaxies with circular speeds ≲ 45 km s−1, with our UDGs being at the extreme end. Based on our findings, we suggest that the high baryon fractions of our UDGs may originate due to the fact that they have experienced weak stellar feedback, likely due to their low star formation rate surface densities, and as a result they did not eject significant amounts of gas out of their discs. At the same time, we find indications that our UDGs may have higher-than-average stellar specific angular momentum, which can explain their large optical scale lengths.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,B,50,outer_curve_reliability;resolved_hi_velocity_field;star_formation_efficiency,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
