rank,query_alias,hit_index,source_system,source_id,title,year,venue,doi_or_url,abstract_or_notes,raw_cache_path,tier,score,candidate_for_gates,evidence_status,claim_boundary,acquisition_next_step
59,SIMBAD bibcode list,52,SIMBAD_bibcode,2019MNRAS.486.1995S,SIMBAD bibliography entry 2019MNRAS.486.1995S,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1995S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
60,SIMBAD bibcode list,1,SIMBAD_bibcode,2020ApJ...902,SIMBAD bibliography entry 2020ApJ...902,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...902/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
61,SIMBAD bibcode list,33,SIMBAD_bibcode,2020A&A...633A,SIMBAD bibliography entry 2020A&A...633A,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020A%26A...633A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
62,SIMBAD bibcode list,34,SIMBAD_bibcode,2020ATel13909,SIMBAD bibliography entry 2020ATel13909,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13909/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
63,SIMBAD bibcode list,35,SIMBAD_bibcode,2020ATel13911,SIMBAD bibliography entry 2020ATel13911,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13911/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
64,SIMBAD bibcode list,36,SIMBAD_bibcode,2020ATel13912,SIMBAD bibliography entry 2020ATel13912,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13912/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
65,SIMBAD bibcode list,37,SIMBAD_bibcode,2020ATel13915,SIMBAD bibliography entry 2020ATel13915,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13915/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
66,SIMBAD bibcode list,39,SIMBAD_bibcode,2020ApJ...904,SIMBAD bibliography entry 2020ApJ...904,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...904/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
67,SIMBAD bibcode list,40,SIMBAD_bibcode,2020ApJS..247,SIMBAD bibliography entry 2020ApJS..247,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJS..247/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
68,SIMBAD bibcode list,41,SIMBAD_bibcode,2020MNRAS.492.4892Y,SIMBAD bibliography entry 2020MNRAS.492.4892Y,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.4892Y/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
69,SIMBAD bibcode list,42,SIMBAD_bibcode,2020MNRAS.494.1784A,SIMBAD bibliography entry 2020MNRAS.494.1784A,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.494.1784A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
70,SIMBAD bibcode list,43,SIMBAD_bibcode,2020MNRAS.494.2875M,SIMBAD bibliography entry 2020MNRAS.494.2875M,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.494.2875M/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
71,SIMBAD bibcode list,44,SIMBAD_bibcode,2020MNRAS.495,SIMBAD bibliography entry 2020MNRAS.495,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
72,SIMBAD bibcode list,45,SIMBAD_bibcode,2020MNRAS.495.3636M,SIMBAD bibliography entry 2020MNRAS.495.3636M,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.3636M/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
73,UGC07125,0,OpenAlex,https://openalex.org/W3179269845,Spectroscopic classification of the bright NIR transient PGIR20eid/SN2020qmp as a young Type II supernova in UGC07125,2020.0,The astronomer's telegram,https://openalex.org/W3179269845,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
74,UGC07125,1,OpenAlex,https://openalex.org/W3127626738,Palomar Gattini-IR NIR discovery of a candidate young supernova PGIR20eid / AT2020qmp in UGC07125 at 12 Mpc,2020.0,The astronomer's telegram,https://openalex.org/W3127626738,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
75,SIMBAD bibcode list,29,SIMBAD_bibcode,2021A&A...647A,SIMBAD bibliography entry 2021A&A...647A,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021A%26A...647A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
76,SIMBAD bibcode list,30,SIMBAD_bibcode,2021A&A...651L,SIMBAD bibliography entry 2021A&A...651L,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021A%26A...651L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
77,SIMBAD bibcode list,31,SIMBAD_bibcode,2021ApJ...921,SIMBAD bibliography entry 2021ApJ...921,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021ApJ...921/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
78,SIMBAD bibcode list,32,SIMBAD_bibcode,2021MNRAS.502.5711N,SIMBAD bibliography entry 2021MNRAS.502.5711N,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.5711N/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
79,SIMBAD bibcode list,25,SIMBAD_bibcode,2022A&A...660A,SIMBAD bibliography entry 2022A&A...660A,2022.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2022A%26A...660A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
80,SIMBAD bibcode list,26,SIMBAD_bibcode,2022A&A...665A,SIMBAD bibliography entry 2022A&A...665A,2022.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2022A%26A...665A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
81,SIMBAD bibcode list,27,SIMBAD_bibcode,2022ApJS..259,SIMBAD bibliography entry 2022ApJS..259,2022.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2022ApJS..259/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
82,SIMBAD bibcode list,28,SIMBAD_bibcode,2022MNRAS.511.6160K,SIMBAD bibliography entry 2022MNRAS.511.6160K,2022.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.6160K/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
83,SIMBAD bibcode list,8,SIMBAD_bibcode,2023ApJS..269,SIMBAD bibliography entry 2023ApJS..269,2023.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2023ApJS..269/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
84,SIMBAD bibcode list,21,SIMBAD_bibcode,2023ApJ...952L,SIMBAD bibliography entry 2023ApJ...952L,2023.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2023ApJ...952L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
85,SIMBAD bibcode list,23,SIMBAD_bibcode,2023MNRAS.523.3393K,SIMBAD bibliography entry 2023MNRAS.523.3393K,2023.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3393K/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
86,SIMBAD bibcode list,24,SIMBAD_bibcode,2023MNRAS.525.2241H,SIMBAD bibliography entry 2023MNRAS.525.2241H,2023.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.2241H/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
87,SIMBAD bibcode list,19,SIMBAD_bibcode,2024AJ....168,SIMBAD bibliography entry 2024AJ....168,2024.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2024AJ....168/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
88,SIMBAD bibcode list,20,SIMBAD_bibcode,2024PASJ...76.1336L,SIMBAD bibliography entry 2024PASJ...76.1336L,2024.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2024PASJ...76.1336L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
89,UGC07125,8,OpenAlex,https://doi.org/10.3390/universe10090359,Probing the Nonlinear Density Wave Theory of Spiral Galaxies by Baryonic Tully–Fisher Relation,2024.0,Universe,https://doi.org/10.3390/universe10090359,"The baryonic mass–velocity relation provides an important test of different galaxy dynamics models such as Lambda–cold dark matter (ΛCDM) and alternatives like Modified Newtonian Dynamics (MOND). Novel nonlinear density wave theory with a soliton solution gives an opportunity to test whether the derived rotational velocity expression is able to support the well known Tully–Fisher empirical relation between mass and rotation velocity in disk galaxies. Initial assumptions do not involve any larger dark matter halo that supports the stability of the very thin galactic disk nor any modified gravitational acceleration acting on galactic scales. It rather follows an important gravitational interaction between constituents of disk mass in the outer part of the disk via gravitational potential. Data are obtained by a fitting procedure applied on the sample of 81 rotational curves of late type spirals using expressions for the rotational velocity derived as an exact, a self-consistent solution of the nonlinear Schrodinger (NLS) equation for galactic surface mass density. The location of these selected objects in the baryonic mass–rotation velocity plane follows the relation logMb=3.7±0.2logVflat+2.7±0.4 in marginal agreement with the findings in the literature.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
90,SIMBAD bibcode list,14,SIMBAD_bibcode,2025A&A...697A,SIMBAD bibliography entry 2025A&A...697A,2025.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2025A%26A...697A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
91,SIMBAD bibcode list,15,SIMBAD_bibcode,2025A&A...698A,SIMBAD bibliography entry 2025A&A...698A,2025.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2025A%26A...698A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
92,SIMBAD bibcode list,16,SIMBAD_bibcode,2025A&A...704A,SIMBAD bibliography entry 2025A&A...704A,2025.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2025A%26A...704A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
93,SIMBAD bibcode list,17,SIMBAD_bibcode,2025AJ....169,SIMBAD bibliography entry 2025AJ....169,2025.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2025AJ....169/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
94,SIMBAD bibcode list,18,SIMBAD_bibcode,2025ApJ...979,SIMBAD bibliography entry 2025ApJ...979,2025.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2025ApJ...979/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
95,MCG+06-27-014,1,Crossref,https://doi.org/10.3847/2515-5172/adcba4,Photometric Monitoring of MCG–06-30-15,2025.0,Research Notes of the AAS,https://doi.org/10.3847/2515-5172/adcba4,"<jats:title>Abstract</jats:title>
               <jats:p>We describe photometric monitoring of the Seyfert 1 galaxy MCG–06-30-15 with the Las Cumbres Observatory network. Using the <jats:italic>V</jats:italic> filter, 496 images were collected between 2023 December and 2024 June from observatories in Chile, South Africa, and Australia. We created light curves of the active galactic nucleus continuum emission using aperture photometry and image subtraction methods. We find that the typical magnitude difference between the two light curves is Δ<jats:italic>V</jats:italic> ≈ 1.9 mag, indicating that the host galaxy contributes approximately 85% of the total flux through the photometric aperture. The amplitude of variation is significantly enhanced when the host galaxy is removed: Δ<jats:italic>V</jats:italic> = 0.1 mag from aperture photometry compared to Δ<jats:italic>V</jats:italic> = 0.5 mag with image subtraction. Future work will compare the continuum light curve with the broad emission-line flux variations to provide insight into the physical parameters of the broad-line region in MCG–06-30-15 and the mass of the central supermassive black hole.</jats:p>",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_MCG_06_27_014.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
96,UGC07125,4,OpenAlex,https://doi.org/10.5281/zenodo.20338332,Coupling-Modified Geodesics and Sidereal Clock Signatures: A χ-Field Framework with 66-Galaxy SPARC Consistency Tests,2026.0,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20338332,"This preprint develops a constrained χ-field phenomenological framework in which local variations in effective coupling modify geodesic response without requiring a wholesale replacement of general relativity. The paper formulates coupling-modified geodesics, an effective metric interpretation, and a bounded Field Descent model intended for empirical comparison rather than speculative propulsion claims. The framework is tested against a fixed-parameter 66-galaxy SPARC consistency sample. Under fixed universal coupling parameters, with no per-galaxy fitting, the Field Descent model wins 17.7% of 2,106 radial data points and is the overall winner in 21/66 galaxies. Three systems — KK98-251, UGC07125, and UGC07559 — yield 100% Field Descent wins across all measured radial points, while gas-dominated dwarf systems define an explicit failure boundary. The paper also derives a model-independent sidereal clock bound from existing timing constraints and proposes a dedicated optical-clock orientation test as a falsifiable laboratory pathway. A subsequent bounded widened-prior refit across 176 SPARC rotmod files is reported only as a diagnostic follow-on, not as final parameter inference. The work is presented as a phenomenological and falsifiable research framework, with explicit limitations, validity boundaries, and future testing requirements.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
97,UGC07125,5,OpenAlex,https://doi.org/10.5281/zenodo.20338331,Coupling-Modified Geodesics and Sidereal Clock Signatures: A χ-Field Framework with 66-Galaxy SPARC Consistency Tests,2026.0,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20338331,"This preprint develops a constrained χ-field phenomenological framework in which local variations in effective coupling modify geodesic response without requiring a wholesale replacement of general relativity. The paper formulates coupling-modified geodesics, an effective metric interpretation, and a bounded Field Descent model intended for empirical comparison rather than speculative propulsion claims. The framework is tested against a fixed-parameter 66-galaxy SPARC consistency sample. Under fixed universal coupling parameters, with no per-galaxy fitting, the Field Descent model wins 17.7% of 2,106 radial data points and is the overall winner in 21/66 galaxies. Three systems — KK98-251, UGC07125, and UGC07559 — yield 100% Field Descent wins across all measured radial points, while gas-dominated dwarf systems define an explicit failure boundary. The paper also derives a model-independent sidereal clock bound from existing timing constraints and proposes a dedicated optical-clock orientation test as a falsifiable laboratory pathway. A subsequent bounded widened-prior refit across 176 SPARC rotmod files is reported only as a diagnostic follow-on, not as final parameter inference. The work is presented as a phenomenological and falsifiable research framework, with explicit limitations, validity boundaries, and future testing requirements.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
98,KUG 1206+370,6,OpenAlex,https://doi.org/10.1051/0004-6361/202659331/pdf,SN 2017ati: A luminous type IIb explosion from a massive progenitor,2026.0,Springer Link (Chiba Institute of Technology),https://doi.org/10.1051/0004-6361/202659331/pdf,"We present optical photometric and spectroscopic observations of the Type IIb supernova (SN) 2017ati. It reached maximum light about 27 d after explosion, and the light curve shows a broad, luminous peak with an absolute r-band magnitude of M_ r = -18.48 ± 0.16 mag. At about 50 d after maximum light, SN 2017ati exhibited a decline rate close to that expected from the 56 Co ̊ightarrow$ $^ 56 Fe radioactive decay, at 0.98 mag per 100 days, as is usually observed in SNe IIb. However, it remains systematically brighter at late times by about 1--2 mag, exceeding the usual upper luminosity range of this class. As a result, modelling the light curve of SN 2017ati with a standard 56 Ni decay scenario requires a large nickel mass of up to łambdałambda6300,6364 doublet implies an oxygen mass of sim1.82-3.34,M_⊙, and the combination of a and still fails to reproduce the early-time light curve adequately. In contrast, incorporating additional energy input from a magnetar yields a significantly improved fit to the light curve of SN 2017ati, which would reduce the nickel mass to sim0.21,M_⊙, which is still close to the upper end of the range typically inferred for SNe IIb. Comparing the fitted results of SN 2017ati with the known sample of SNe IIb indicates that its luminosity evolution is best explained by a combination of neutron star spin-down energy and radioactive nickel deposition. From late-time nebular spectra of SN 2017ati, the luminosity of the / flux ratio of sim0.5 with nebular spectral model comparisons favours a progenitor zero-age main-sequence mass of geq17,M_⊙.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_KUG_1206_370.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
