galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,Sigma_baryon_Msun_kpc2,Sigma_star_Msun_kpc2,Sigma_gas_Msun_kpc2,log10_v_flat_obs,log10_Sigma_baryon,log10_Sigma_star,log10_Sigma_gas,log10_stellar_to_gas_ratio,sample_btfr_log10_v_pred,sample_btfr_log10_v_residual,sample_btfr_slope_logv_logm,sample_btfr_intercept_logv,A_source_required,A_Q_required,participation_fraction_required,gas_participation_required,gas_participation_required_status,ugc07125_hard_analog,ugc07125_regime_score,ugc07125_analog_distance,A_source_required_m6g,A_Q_required_m6g,sample_btfr_log10_v_residual_m6g,drive_star_frac,drive_sigma_star,drive_stellar_to_gas,bleed_gas_frac,bleed_hi_extent,bleed_low_sigma_baryon,bleed_low_v_for_mass_symptom
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",57.7,0.196,0.29,0.7,10.0,98000000.0,385700000.0,483700000.0,0.2026049204052098,0.7973950795947902,1.5,1.1377142691005784,1.0,1.0,1.0,1.0242267142793506,53.31735230904176,57.7,0.9240442341255072,-0.0343072385452566,0.0343072385452566,1.3207692283386865,2.0608488730388075,0.2540834845735027,8.684576087388455,0.0,1.7428571428571429,157108665.25214243,31830988.618379075,125277676.63376336,1.7611758131557314,8.196200139001826,7.502850127305866,8.097873690479414,-0.595023563173547,1.7446572878119961,0.016518525343735213,0.2597665671999078,-0.5113052299953095,1.371604667038468,1.171155270251758,1.371604667038468,1.4660232757233782,more_than_total_gas_required,False,3.0,6.288758960829702,1.371604667038468,1.171155270251758,0.0165185253437352,0.2026049204052098,0.22595237422974285,0.0775492717067151,0.7973950795947902,0.0,0.6649697796545346,0.43938245810186516
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",46.1,0.157,0.211,0.69,10.0,78500000.0,280630000.0,359130000.0,0.2185837997382563,0.7814162002617436,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.113842848849803,51.61208276794634,46.1,1.119567955920745,0.0490504596709066,0.0490504596709066,1.2407987711173312,2.1808424146466825,0.279727755407476,8.555251685522226,5.057971014492754,1.7391304347826089,120053170.9989338,26241678.28757359,93811492.71136022,1.6637009253896482,8.0793736356896,7.418991606912627,7.972256046432153,-0.5532644395195259,1.7110631318840244,-0.04736220649437617,0.2597665671999078,-0.5113052299953095,0.6364996384768451,0.7978092744991406,0.6364996384768448,0.5348184982581664,partial_gas_participation_can_match_observed_vflat,True,4.0,4.365672222146655,0.6364996384768451,0.7978092744991406,-0.0473622064943761,0.2185837997382563,0.18474078070899894,0.09979297087455413,0.7814162002617436,0.22083864230077457,0.7468030905208625,0.7834103960877729
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,66.3,0.548,1.378,1.22,10.0,274000000.0,1832740000.0,2106740000.0,0.1300587637772103,0.8699412362227897,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,81.96995774448564,66.3,1.236349287247144,0.0921411828030931,0.0921411828030931,1.316808752053022,2.228836487527934,0.1495029300391763,9.32361094114549,8.762295081967213,1.6721311475409837,225274176.84051302,29298880.95080578,195975295.88970724,1.8215135284047732,8.352711411437879,7.466851033112777,8.292201328831082,-0.8253502957183049,1.9106571780935564,-0.08914364968878319,0.2597665671999078,-0.5113052299953095,0.4279916230551355,0.654210687053594,0.4279916230551355,0.3424746946949246,partial_gas_participation_can_match_observed_vflat,True,4.0,3.387053710833753,0.4279916230551355,0.654210687053594,-0.0891436496887831,0.1300587637772103,0.20826090972448336,0.0,0.8699412362227897,0.6225222049933531,0.5553385294825224,1.0
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,175.0,51.733,3.14,5.08,4.0,25866500000.0,4176200000.000001,30042700000.0,0.8609911892073615,0.1390088107926385,2.450787401574804,1.195374816009664,1.027895912459201,1.1,1.130685503705121,1.2167709155139317,163.14195171426232,175.0,0.932239724081499,-0.030472395093818,0.030472395093818,2.196839145833112,3.3608299960638286,6.1937886116565295,10.477738961035453,3.478346456692914,1.423228346456693,185281333.6547091,159525595.8012939,25755737.85341518,2.2430380486862944,8.2678316681095,8.20283037531437,7.410873996114347,0.7919563792000226,2.2104610519295984,0.03257699675669601,0.2597665671999078,-0.5113052299953095,1.3240048633900587,1.1506541024087382,1.3240048633900583,3.3308224963767312,more_than_total_gas_required,False,0.5,7.447985889925733,1.3240048633900587,1.1506541024087382,0.032576996756696,0.8609911892073615,0.5699520217098312,0.8163474525687696,0.1390088107926385,0.049549843444057474,0.6147941343762324,0.3528999985488489
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,109.1,4.292,1.083,1.51,7.0,2146000000.0,1440390000.0,3586390000.0,0.5983732945942856,0.4016267054057144,4.082781456953643,1.260251976740183,1.0,1.0,1.0,1.1345412256462997,92.59787549913533,109.1,0.8487431301478947,-0.0712237279408208,0.0712237279408208,1.9568404901592336,3.1208304839711203,1.489874270162942,9.554657514907793,6.344370860927152,1.8211920529801324,250336255.5832387,149794530.00973967,100541725.57349902,2.037824750588342,8.398523751963339,8.175495954685479,8.002346334647953,0.1731496200375261,1.9706753534230899,0.06714939716525192,0.2597665671999078,-0.5113052299953095,1.9270585575323693,1.3881853469664522,1.9270585575323704,3.3082592493342204,more_than_total_gas_required,False,1.5,6.782400357898742,1.927058557532369,1.3881853469664522,0.0671493971652519,0.5983732945942856,0.5565187411463247,0.4867296304162552,0.4016267054057144,0.3603312093523526,0.5232484180998793,0.16671127964186333
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,314.6,311.177,24.298,5.45,4.0,155588500000.0,32316340000.0,187904840000.0,0.8280175220606345,0.1719824779393654,6.08256880733945,1.3039185621748468,1.0,1.1,1.1,1.291237252608236,265.774933672242,314.6,0.8448027135163444,-0.0732446998489913,0.0732446998489913,2.6328316970876364,3.816830347353688,4.814545830375594,11.273937966679668,10.222018348623854,1.9431192660550458,1006850740.4054103,833690055.155403,173160685.25000727,2.497758718287268,9.00296509376827,8.921004620956202,8.238449295781152,0.6825553251750507,2.4172869344337764,0.08047178385349163,0.2597665671999078,-0.5113052299953095,1.9632644353976096,1.4011653847414336,1.9632644353976096,6.600945206390271,more_than_total_gas_required,False,1.5,8.031738445280755,1.9632644353976096,1.4011653847414336,0.0804717838534916,0.8280175220606345,0.9228929625905901,0.758073142156088,0.1719824779393654,0.7808093396002475,0.09985616700947919,0.09496392970509225
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",109.9,1.903,3.2,3.52,9.0,951500000.0,4256000000.0,5207500000.0,0.1827172347575612,0.8172827652424388,3.9886363636363633,1.2573908730529677,1.0,1.0,1.0,1.1319655184513062,101.53141101041533,109.9,0.9238526934523688,-0.0343972706855351,0.0343972706855351,1.1528995963937474,1.6208644752651211,0.2235667293233082,9.716629278619784,6.667613636363636,1.309659090909091,66890444.71131238,12222037.089354534,54668407.62195785,2.0409976924234905,7.825364083305407,7.087143597308662,7.737736423972614,-0.6505928266639527,2.0127502024658686,0.02824748995762194,0.2597665671999078,-0.5113052299953095,1.3727425098900068,1.1716409475133611,1.3727425098900066,1.4560753337058765,more_than_total_gas_required,True,4.5,5.747685113019625,1.3727425098900068,1.1716409475133611,0.0282474899576219,0.1827172347575612,0.02165675277319085,0.04794936941231098,0.8172827652424388,0.3953824919310086,0.9247288357408457,0.3762164392614582
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",116.6,2.986,2.169,2.43,10.0,1493000000.0,2884770000.0,4377770000.0,0.341041215047844,0.658958784952156,3.2633744855967075,1.2320640525006583,1.0,1.0,1.0,1.109165060636936,96.2360587736013,116.6,0.8253521335643337,-0.08336072170972,0.08336072170972,1.3729120029701067,2.164828534344481,0.5175455928895545,9.641252940796383,4.679012345679012,1.8477366255144032,117994163.35914354,40240872.84055611,77753290.51858743,2.0666985504229953,8.071860525241643,7.604667392170286,7.89071877742654,-0.2860513852562536,1.9931699499413829,0.07352860048161247,0.2597665671999078,-0.5113052299953095,2.15497822824065,1.467984410080928,2.154978228240651,2.752732120149986,more_than_total_gas_required,False,1.5,6.806341619267087,2.15497822824065,1.467984410080928,0.0735286004816124,0.341041215047844,0.27598964788195834,0.24212849596834585,0.658958784952156,0.1797457288759179,0.7520657893557119,0.13235625427236583
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",112.3,3.825,2.491,2.85,7.0,1912500000.0,3313030000.0000005,5225530000.0,0.3659915836288376,0.6340084163711625,3.294736842105263,1.2332905467822552,1.0,1.0,1.0,1.1102692115140411,100.64060478195164,112.3,0.8961763560280644,-0.0476065183363852,0.0476065183363852,1.4967913157000423,1.9568404901592336,0.57726612798556,9.718130345386383,5.045614035087719,1.5438596491228072,102390757.74392019,37474155.57565402,64916602.168266185,2.050379756261458,8.010260757011247,7.57373185545052,7.812355780128457,-0.2386239246779371,2.0131401294269655,0.037239626834492334,0.2597665671999078,-0.5113052299953095,1.550336862251016,1.245125239584764,1.5503368622510163,1.868027691810383,more_than_total_gas_required,False,1.5,6.0533954610364455,1.550336862251016,1.245125239584764,0.0372396268344923,0.3659915836288376,0.2607866278589169,0.26739153008130023,0.6340084163711625,0.2194986959512865,0.7952144999648072,0.32778953150973544
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",139.7,10.164,1.782,3.56,5.0,5082000000.0,2370060000.0,7452060000.0,0.6819590824550527,0.3180409175449473,3.6446629213483135,1.2461398259701846,1.0,1.0,1.0,1.1218367688181392,110.55042691224978,139.7,0.7913416385987816,-0.1016359820825215,0.1016359820825215,2.916827544276814,1.9408152086508013,2.1442495126705654,9.872276342945087,6.896067415730337,0.3932584269662921,93582895.56380108,63819705.59217681,29763189.971624278,2.1451964061141817,7.971196478641222,7.804954796410485,7.473679476364077,0.3312753200464088,2.0531821060603956,0.09201430005378608,0.2597665671999078,-0.5113052299953095,2.5500220062118464,1.5968788326644718,2.5500220062118477,5.873655937660252,more_than_total_gas_required,False,1.5,7.480060650565002,2.5500220062118464,1.5968788326644718,0.092014300053786,0.6819590824550527,0.37441927735986513,0.570957942553329,0.3180409175449473,0.4201551971088159,0.8225778049083743,0.03280202370784196
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",97.8,6.537,3.524,4.46,7.0,3268500000.0,4686920000.000001,7955420000.000001,0.4108519726174104,0.5891480273825895,2.473094170403588,1.1965202815377989,1.0,1.0,1.0,1.07716679821278,110.11177428999484,97.8,1.1258872626788838,0.0514949059259186,0.0514949059259186,1.476831628512261,2.108835527934606,0.697366287455301,9.90066311281571,3.6300448430493275,1.3161434977578477,63652215.878668696,26151638.45522029,37500577.423448406,1.9903388547876015,7.803813527033311,7.4174989035195384,7.574037954924697,-0.15653905140515928,2.060556039823581,-0.0702171850359794,0.2597665671999078,-0.5113052299953095,0.6223294830360728,0.7888786237667191,0.6223294830360729,0.3589547967396149,partial_gas_participation_can_match_observed_vflat,False,0.5,4.001023290822023,0.6223294830360728,0.7888786237667191,-0.0702171850359794,0.4108519726174104,0.1840072036652528,0.31111541764267253,0.5891480273825895,0.06599947019820473,0.9398243262396369,0.9064952593029589
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",112.1,11.848,2.245,3.37,5.0,5924000000.0,2985850000.0,8909850000.0,0.6648821248393632,0.3351178751606368,3.964391691394659,1.2566394146894453,1.0,1.0,1.0,1.1312890184270985,116.08627804268072,112.1,1.035560018221951,0.0151752744774168,0.0151752744774168,1.7528164311882717,2.3048350692290063,1.984024649597267,9.949870392620417,6.2195845697329375,1.7091988130563798,124862125.20206426,83018595.1163071,41843530.08575718,2.049605612594973,8.096430722519624,7.919175379748379,7.621628316205635,0.2975470635427431,2.073338445979695,-0.023732833384721985,0.2597665671999078,-0.5113052299953095,0.8695586949809716,0.9325013109808327,0.8695586949809716,0.6107599304975835,partial_gas_participation_can_match_observed_vflat,False,1.5,5.15086080397094,0.8695586949809716,0.9325013109808328,-0.0237328333847219,0.6648821248393632,0.43055206184198985,0.552992019768668,0.3351178751606368,0.3467998332877687,0.7348551347962543,0.6561550520598557
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",85.8,0.986,2.126,2.36,9.0,493000000.0,2827580000.0,3320580000.0,0.1484680387161279,0.8515319612838721,4.108050847457627,1.2610047611710185,1.0,1.0,1.0,1.1352189194619575,90.8593865700958,85.8,1.0589672094416762,0.0248825125352315,0.0248825125352315,1.04883008652835,1.7848311781244692,0.1743540412649686,9.521213947800288,6.63135593220339,1.5847457627118646,94887733.57729207,14087795.702439029,80799937.87485304,1.9334872878487055,7.97721007350196,7.148843044978902,7.907411026856035,-0.7585679818771338,1.9619878328006535,-0.02850054495194798,0.2597665671999078,-0.5113052299953095,0.7951882421645626,0.891733279722453,0.7951882421645622,0.7594784844873715,partial_gas_participation_can_match_observed_vflat,True,4.5,4.542106391637325,0.7951882421645626,0.891733279722453,-0.0285005449519479,0.1484680387161279,0.05197844871913228,0.0,0.8515319612838721,0.3914508370550165,0.818365469832764,0.6818314325925808
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,242.6,179.749,12.326,4.78,4.0,89874500000.0,16393580000.0,106268080000.0,0.8457337330268883,0.1542662669731117,4.2552301255230125,1.2652654767858007,1.0119978035750912,1.1,1.1131975839326005,1.2679928583096862,228.3944863674295,242.6,0.9414447088517292,-0.0262051810596486,0.0262051810596486,2.5928315927320416,3.948829942558922,5.482298558338081,11.02640283402812,6.7217573221757325,1.788702928870293,740230835.6333476,626038187.921804,114192647.71154362,2.384890796530554,8.869367172445768,8.796600825699045,8.057638142779389,0.7389626829196558,2.35298558276351,0.031905213767043694,0.2597665671999078,-0.5113052299953095,1.2729774903680586,1.128263041302009,1.272977490368058,2.76952159227161,more_than_total_gas_required,False,1.5,7.156788241752071,1.2729774903680586,1.128263041302009,0.0319052137670436,0.8457337330268883,0.861755720739264,0.7881194694430078,0.1542662669731117,0.4012536382503258,0.19343733152880926,0.35651786750642106
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",106.3,3.889,0.676,1.34,5.0,1944500000.0,899080000.0000001,2843580000.0,0.6838210987557938,0.3161789012442063,3.470149253731343,1.2399189693835069,1.0,1.0,1.0,1.1162364457187262,86.67043277566295,106.3,0.8153380317560014,-0.0886622993703862,0.0886622993703862,2.1808424146466825,3.072830529860883,2.1627663834141564,9.453865451005566,5.440298507462686,1.4999999999999998,252043780.95191115,172352855.2251005,79690925.72681068,2.0265332645232967,8.401475985917836,8.236418482395749,7.901408871820991,0.33500961057475676,1.9444929449822146,0.08204031954108215,0.2597665671999078,-0.5113052299953095,2.2628157737541943,1.504265858734484,2.2628157737541934,4.9939912776748985,more_than_total_gas_required,False,1.0,7.312184750801522,2.2628157737541943,1.504265858734484,0.0820403195410821,0.6838210987557938,0.5864586260438684,0.5729470751751262,0.3161789012442063,0.2622968588860715,0.5211804705700038,0.08651662356547886
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",88.1,3.232,1.99,1.66,6.0,1616000000.0,2646700000.0,4262700000.0,0.3791024468060149,0.620897553193985,5.774096385542169,1.2989281043157102,1.0,1.0,1.0,1.1693593905789126,98.15709556307011,88.1,1.1141554547454044,0.0469457908627941,0.0469457908627941,1.8128465369670712,3.076829700943831,0.6105716552688253,9.629684768976201,9.855421686746988,1.6927710843373496,246200383.18980342,93335167.67183295,152865215.51797047,1.944975908412048,8.391288724537977,7.970045312000342,8.184308672938567,-0.21426336093822512,1.9901649256588754,-0.045189017246827445,0.2597665671999078,-0.5113052299953095,0.6489583675960535,0.805579522825682,0.6489583675960534,0.4346222970309052,partial_gas_participation_can_match_observed_vflat,False,1.5,4.527831010739026,0.6489583675960535,0.805579522825682,-0.0451890172468274,0.3791024468060149,0.4555516797766358,0.2803675938482165,0.620897553193985,0.7410569176923277,0.5283163284767196,0.7717067447022186
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",220.1,312.57,23.201,8.72,5.0,156285000000.0,30857330000.0,187142330000.0,0.8351130393642101,0.1648869606357899,3.0246559633027523,1.222296074823408,1.0016766843117375,1.0,1.0016766843117375,1.1022164190471202,245.3030507327344,220.1,1.1145072727520873,0.0470829068277363,0.0470829068277363,2.912827626440297,3.1928294005189524,5.064760949829425,11.27217203232174,5.159403669724771,0.8899082568807338,391705071.1381972,327118012.492594,64587058.645603195,2.342620042553348,8.59295919409849,8.514704458862857,7.810145506821045,0.7045589520418112,2.416828203727717,-0.07420816117436901,0.2597665671999078,-0.5113052299953095,0.6481393252846411,0.8050710063619488,0.6481393252846409,-1.1339508797943434,stellar_mass_alone_exceeds_required_participating_mass,False,1.5,5.319110625149477,0.6481393252846411,0.8050710063619488,-0.074208161174369,0.8351130393642101,0.7232200247771858,0.7697937438784969,0.1648869606357899,0.2318376341775147,0.38705247344206517,0.9279885523810761
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,216.1,138.34,4.462,2.55,3.0,69170000000.0,5934460000.0,75104460000.0,0.9209839202625252,0.0790160797374749,4.282352941176471,1.266028103776797,1.110269969328327,1.2,1.3323239631939925,1.5185044875328593,229.16641721395715,216.1,1.0604646793797183,0.0254962081605126,0.0254962081605126,3.208830864265175,3.704829750680075,11.65565190430132,10.875665727894663,7.121568627450981,1.443137254901961,1838253911.149178,1693002293.5280895,145251617.6210887,2.3346547668832414,9.264405498668639,9.228657546452656,8.162120977688879,1.0665365687637764,2.313829122153574,0.020825644729667303,0.2597665671999078,-0.5113052299953095,0.7907062422470461,0.8892166452822654,0.7907062422470463,-1.6487489438645475,stellar_mass_alone_exceeds_required_participating_mass,False,1.5,9.241040974329366,0.7907062422470461,0.8892166452822654,0.0208256447296673,0.9209839202625252,1.0,0.9626072061188474,0.0790160797374749,0.4446077364832119,0.0,0.4161865841917714
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",109.8,6.82,5.88,1.61,6.0,3410000000.0,7820400000.0,11230400000.0,0.3036401196751674,0.6963598803248326,11.20807453416149,1.3416529489421265,1.0,1.0,1.0,1.2078224110562814,127.09452762483886,109.8,1.1575093590604633,0.0635245111991767,0.0635245111991767,2.1488185146020182,3.1288288267921383,0.4360390772850493,10.050395225068138,20.701863354037265,1.714285714285714,689546573.3957877,209374004.0674986,480172569.32828915,2.040602340114073,8.838563604646323,8.320922758570683,8.68139734662141,-0.36047458805072663,2.0994514366229855,-0.058849096508912346,0.2597665671999078,-0.5113052299953095,0.557059974832147,0.7463645053404852,0.5570599748321471,0.3639208149653399,partial_gas_participation_can_match_observed_vflat,False,1.5,7.068691849048315,0.557059974832147,0.7463645053404852,-0.0588490965089123,0.3036401196751674,0.6279875710354481,0.20248572597674125,0.6963598803248326,1.0,0.2150142671389349,0.8452727287796806
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,164.4,72.045,8.783,3.53,4.0,36022500000.0,11681390000.0,47703890000.0,0.7551270976014745,0.2448729023985255,5.219546742209632,1.2885585775508177,1.0,1.1,1.1,1.2760266520988337,187.54039426852225,164.4,1.1407566561345637,0.057193011491666,0.057193011491666,2.4528287182568427,3.312830845991887,3.0837511631749304,10.678553794902832,8.637393767705383,1.8016997167138813,609290653.0196081,460091882.4104038,149198770.6092044,2.215901813204032,8.784824515769072,8.662844570896903,8.173765244585455,0.4890793263114474,2.2626260319661475,-0.04672421876211574,0.2597665671999078,-0.5113052299953095,0.5905109483305953,0.7684471018427977,0.5905109483305951,-0.6722513910623313,stellar_mass_alone_exceeds_required_participating_mass,False,1.5,5.181599267229583,0.5905109483305953,0.7684471018427977,-0.0467242187621157,0.7551270976014745,0.7960222880729829,0.6550148991102058,0.2448729023985255,0.6089783562415124,0.25265681776815574,0.7799745305665999
